Food_Name ,Ingredients ,Procedures 
Akara ,"
Beans
Red bell pepper
Rodo (Scotch bonnet pepper)
Onions
Salt
Oil for frying
","
Blend beans, red bell pepper, rodo, and onions into a smooth paste.
Whisk the paste till fluffy and lighter in color.
Heat oil in a deep pan.
Drop spoonfuls of the bean mixture into the hot oil.
Fry until golden brown and drain on paper towels.
"
Meatballs,"500g ground beef
1 onion, finely chopped
2 cloves garlic, minced
1 egg, beaten
1/2 cup breadcrumbs
Salt and pepper to taste
2 tablespoons olive oil","
In a bowl, mix beef, onion, garlic, egg, breadcrumbs, salt, and pepper.
Form into balls.
Heat oil in a skillet and fry meatballs until browned and cooked through.
Serve hot with sauce or pasta."
Locust bean stew ,"4 Big Bell Peppers (Tatashe)

2-3 Scotch Bonnet Peppers (Ata Rodo)

1.5 Onions

1 Cup Palm Oil

Assorted Meats (Boiled and Fried)

1 Cooking Spoon Locust Beans (Iru)

Smoked Fish (Shredded)

Stock fish (Shredded)

Ponmo 

Boiled Eggs

2 Knorr Chicken Cubes

Salt to taste","Blend the Bell Peppers, Scotch Bonner and 1 Onion coarsely, then set aside.

Pour the Palm oil into a saucepan, then place on medium heat. When the Oil heats up, add 1/2 chopped onions. Fry for 2 minutes..

After 2 minutes, add the Locust Beans. Fry for a further 2 minutes..Then add the Blended Pepper..Also add the Stock Cubes and Salt to taste.When the stew is boiling , add the ponmo.Fry for 20 minutes, making sure you stir from time to time to prevent burning..

After 20 minutes, the Oil would have settled well on the top of the Stew..Now, add the Shredded Fish, Meats and boiked eggs . Then leave it to cook on LOW heat then leave to fry for 30 minutes.
(You can fry for up to an hour. As long as you’ve got enough Palm oil and the heat is on low, you’ll be fine, just remember to stir occasionally…)"
Ayamase Sauce ,"4 green bell peppers
2 scotch bonnet peppers
1 medium onion
500g assorted meat (beef, liver, and tripe)
1 cup palm oil
1 tablespoon locust beans (iru)
2 bouillon cubes
Salt to taste
2 tablespoons ground crayfish
3 boiled eggs (optional)
Fried plantains (optional)","Blend the green bell peppers, scotch bonnet peppers, and half of the onion until smooth.
Heat the palm oil in a pot until it changes color to a darker hue, but do not burn.
Add the remaining chopped onion to the oil and sauté until translucent.
Add the blended pepper mix and cook until the sauce thickens and the oil rises to the top.
Add the assorted meat, locust beans, bouillon cubes, and salt. Cook for about 10 minutes.
Stir in the ground crayfish and simmer for an additional 5 minutes.
Serve with boiled eggs and fried plantains alongside white rice or ofada rice."
Efo Elegusi ,"2 cups ground egusi (melon seeds)
1 cup palm oil
2 cups washed and chopped Ugwu or bitter leaf
1 onion, chopped
3 tomatoes, blended
2 red bell peppers, blended
1 scotch bonnet pepper, blended
500g assorted meat and fish (beef, shrimp, and smoked fish)
2 bouillon cubes
Salt to taste
Water as needed","
Heat the palm oil in a pot and fry the onions until translucent.
Add the blended tomatoes, bell peppers, and scotch bonnet. Cook until the oil separates from the mixture.
In a bowl make a thick paste of egusi and water, drop the paste like as balls in the stew and cook for about 5 minutes.
Bring to a boil
Add the assorted meat and fish, bouillon cubes, and salt. Simmer for 15 minutes.
Add the ugwu or bitter leaf, and cook for another 5 minutes or until the vegetables are tender."
Regular Jollof rice ,"2 cups long-grain parboiled rice
1/4 cup vegetable oil
1 onion, chopped
1 can tomato paste (6 oz)
Water
1 bouillon cube
Salt to taste
Ground pepper 
Curry
Thyme ","Rinse the rice under cold water and drain.
In a large pot, heat the vegetable oil over medium heat and fry the onion until translucent.
Stir in the tomato paste and cook for about till it is well fred then add the ground peppers and curry and thyme and add seasoning and cook 
When it boils add the rice, bouillon cube, salt, and enough water to cover the rice by about an inch and add some ring onions. 
Bring to a boil, then reduce the heat to low, cover, and simmer until the rice is cooked and the liquid is absorbed.
Fluff the rice with a fork before serving."
Regular Fried rice,"2 cups rice, rinsed and drained
1/4 cup vegetable oil
1 large onion, finely chopped
1 teaspoon curry powder
4 cups water or chicken stock (if available)
1 bell pepper, chopped
2 seasoning cubes
2 cups mixed vegetables (such as carrots, peas, and corn)
Salt to taste
","
Heat oil in a large pot over medium heat. Add the onions and fry until translucent.
Stir in curry powder and let it cook for about a minute to release the flavors.
Add water or chicken stock and bring to a boil.
Stir in the chopped bell pepper.
Add the washed rice and crumble in the seasoning cubes. Reduce the heat, cover, and simmer until the rice is cooked and all the liquid is absorbed, about 18-20 minutes.
While the rice cooks, heat a little oil in a separate pan. Add the mixed vegetables and a pinch of salt. Cook until just tender.
Once the rice is cooked, fold in the seasoned vegetables.
Serve hot."
Coleslaw,"
4 cups cabbage, finely shredded
2 medium carrots, grated
1 cucumber, thinly sliced or julienned
3 tablespoons mayonnaise
1 tablespoon vinegar (optional, for a bit of tang)
","
In a large mixing bowl, combine the shredded cabbage, grated carrots, and sliced cucumber.
In a small bowl, whisk together the mayonnaise and vinegar if using. 
Pour the dressing over the vegetables and toss well to coat everything evenly.
Refrigerate the coleslaw for at least 30 minutes before serving to allow the flavors to meld together.
Serve chilled as a side dish."
Salad,"2 cups cabbage, shredded
1 head lettuce, chopped
1 cucumber, sliced
1 cup macaroni, cooked and cooled
2 carrots, grated or thinly sliced
1 cup sweetcorn, drained
1 can baked beans, drained and rinsed
1 can red kidney beans, drained and rinsed
1 cup green peas, cooked and cooled
2 hard-boiled eggs, sliced
Your preferred salad cream or mayonnaise","In a large salad bowl, layer the chopped lettuce and shredded cabbage as the base.
Scatter the sliced cucumber, grated carrots, and cooked macaroni evenly over the lettuce and cabbage.
Add the sweetcorn, baked beans, red kidney beans, and green peas to the salad.
Arrange the sliced hard-boiled eggs on top of the salad.
Drizzle your preferred salad cream or mayonnaise over the salad, or serve it on the side.
Toss all the ingredients together gently."
Sardine Toast ,"4 slices of bread
2 eggs, beaten
1 can of sardines 
1 small onion, finely chopped
1 small tomato, chopped
Salt and pepper to taste
Butter","In a bowl, beat the eggs and season with salt and pepper. Mix in the mashed sardines, chopped onion, and tomato.
Butter one side of each bread slice.
Place two slices, buttered side down, on the toasting machine.
Spoon the sardine and egg mixture onto the non-buttered side of these slices.
Top with the remaining bread slices, buttered side up.
Close the toasting machine and toast until the bread is golden and crispy to your preference.
Serve hot "
Chicken Toast ,"4 slices of bread
2 eggs, beaten
1 cup cooked chicken, shredded
1 tablespoon mayonnaise
1 teaspoon mustard (optional)
1 small onion, finely chopped
Salt and pepper to taste
Butter
","In a bowl, combine the beaten eggs, shredded chicken, mayonnaise, mustard, and chopped onion. Season with salt and pepper.
Butter one side of each bread slice.
Place two slices, buttered side down, on the toasting machine.
Spoon the chicken and egg mixture onto the non-buttered side of these slices.
Top with the remaining bread slices, buttered side up.
Close the toasting machine and toast until the bread is golden and crispy to your preference.
Serve hot and enjoy the creamy, flavorful chicken filling."
Egg Toast,"4 slices of bread
4 eggs
Salt and pepper to taste
Butter ","Beat the eggs in a bowl and season with salt and pepper.
Spread butter on each slice of bread on just one side 
Put the face buttered side of the bread on the toasting machine, add the mixed eggs on the non buttterd size and close with another bread with the buttered side facing up and toast till preffered crunchiness.
Serve hot."
Okro soup(plain),"2 cups okra, grated or finely chopped
1 teaspoon sodium bicarbonate (Koun)
2 seasoning cubes (such as Maggi or Knorr)
Salt to taste","Wash the okra thoroughly. You can either grate it using a grater for a finer texture or chop it finely with a knife, depending on your preference.
In a pot, bring  water to a boil.
Add the grated or chopped okra to the boiling water 
Stir in the sodium bicarbonate (baking soda). This will help soften the okra and enhance its slimy texture, which is characteristic of many traditional West African okra soups.
Crumble the seasoning cubes into the pot and stir well to ensure they dissolve completely.
When the soup okra is almost soft, reduce the heat and let the soup simmer for about 10-15 minutes. This allows the flavors to meld together and the okra to cook thoroughly.
Serve hot with your choice of side such as fufu, pounded yam or eba "
Asun,"500 grams goat meat, cut into bite-sized pieces
2 scotch bonnet peppers, finely chopped
1 onion, sliced
2 tablespoons vegetable oil
Salt to taste
Seasning cubes 

","Season and Grill the goat meat until almost tender.
In a pan, heat oil over medium heat, sauté the onions and scotch bonnets until soft.
Add the grilled goat meat to the pan, season with salt, and stir-fry until fully cooked and spicy.
Serve hot. "
Palm oil stew ,"2 cups palm oil
1 onion, finely chopped
2 tomatoes, blended
1 tablespoon tomato paste
1 scotch bonnet pepper, chopped
500 grams assorted meat (beef, tripe, chicken)
Salt to taste
","Heat the palm oil in a pot, add the onion, and fry until golden.
Add the blended tomatoes, tomato paste, and scotch bonnet pepper, and cook until the oil separates from the sauce.
Add the assorted meat and enough water to cover the contents. Simmer until the meat is tender.
Season with salt and simmer for an additional 10 minutes.
Serve hot with rice or boiled yam."
Otong Soup,"30-40 pieces Fresh Okra

1 Cooking spoon Palm oil

Assorted meats (Shaki, Ponmo, Cowfoot, Beef, Goat meat and Offals are ideal)

2-3 Pieces Stock fish

2 Medium size Smoked fish

Fresh prawns (Optional)

Smoked prawns

1 Cooking spoon Crayfish

2 Cups Chopped and washed Ugu leaves (substitute for Spinach, Water leaves or Kale)

Handful Uziza leaves, chopped and washed (Optional)

1 Onion

2-3 Scotch Bonnet (Ideally Yellow Nsukka Pepper)

Knorr Chicken Cubes/ Maggi Crayfish

Salt to taste","Pound in a mortar or chop the Okra with a processor. I prefer to chop 3/4 finely with a food processor then chop the rest by hand cos I love my Okra with a bit of crunch. If you want it chunky all through, with little or no elasticity, then you can chop the entire Okra. both ways is fine.Clean the Smoked Fish and soak in hot water to remove all traces of dirt, shred and set aside.Chop or blend the Scotch Bonnet and set aside. Also blend the Onion and set aside
Boil the meats, starting with tougher meats like Shaki, Cow foot, Ponmo, add softer meats as you go. Start by transferring the meats into a big pot, add blended Onions, Salt and Bouillon cubes, do not add water, allow the meats to sweat out. Stir from time to time and allow to steam for 5 minutes..After 5 minutes, add enough water to cook the meats, cover and cook till soft. When the meats are soft, add the Stockfish and leave to soften for 6-8 minutes..Then add chopped Pepper and half of the Crayfish…

Add the Smoked/ fresh Prawns, and shredded smoked Catfish, leave for 2 minutes….Add the Palm oil and leave to boil for 2-3 minutes. Use Palm oil sparingly, unlike Ila Alasepo, Otong soup requires very little palm oil..Now, add the Okra, combine and leave to cook for a minute…

Once the okra is added, do not cover the pot till you’re done cooking. covering will affect the elasticity of your Otong soup.Add the Ugu and Uziza leaves, combine and leave to cook for 2 minutes…

Add the rest of the Crayfish..Switch the heat off, then allow to simmer with the residual heat for 2 minutes…Your Otong Soup is ready! Enjoy with your preferred Swallow!"
Bitter Leaf soup,"Assorted meats (Beef, goat meat, Ponmo, Shaki are ideal)

2 Cooking Spoon Palm oil

1 Cup Bitter leaves (Fresh or Dried)

3-4 Medium Size Cocoyam (Ede)

2 Smoked Fish (Optional)

2-3 Stockfish (Optional)

3 Tablespoons Ground Crayfish

1 Tablespoon Ogiri Okpei

3 Tablespoons Ground Dry pepper or 2 Scotch Bonnet blended

2 Bouillon Cubes

Salt to taste","Start by boiling your meats, start with the tougher meats like Cow leg and Shaki first. When they’re slightly tender, add beef or other softer meats. When all the meats are tender, add the Stockfish, leave to cook till soft….
(Do not add Onions, Curry or Thyme!)                                                                                                                  While the meats are boiling, boil the Cocoyam with the skin on. Do not add salt, boil till tender, this should take roughly 20 minutes on medium heat…                                                                                                                   When they are soft, gently peel the skin off and pound till smooth in a mortar. Alternatively, chop them into small chunks and purée in your electric blender or food processor till smooth, then set aside…             Wash the Bitter leaves with hot water to get rid of as much bitterness as you can. There should be almost no hint of bitterness left in the leaves after washing.
(If you find yourself struggling to get rid of the bitterness, simply boil the leaves with enough water for 15 times, then rinse with cold water. )
If you’re using dried Bitter leaves, you’ll need to soak in warm water to plump it up and also get rid of dirt…When the Meats and Fish are all soft, add Crayfish, smoked Prawns, then add the ground or blended pepper. Stir and combine…                                                                                                                                               Add Palm oil, leave to thoroughly combine for 3-4 minutes….                                                                                Now, turn the heat done to low, add the blended Cocoyam into the stock in small dollops, be careful not to add too much. The consistency should be semi fluid….                                                                                    The Cocoyam will dissolve; thickening the soul, leave to dissolve and combine for 2-3 minutes.
(The thickness will depend on your preference. Ofe Onugbu is light and semi fluid though some role prefer it thick and creamy. I like mine Somewhat in between.)
Then add the Ogiri, stir and combine. Taste for seasoning and adjust if necessary…                                          Then add the washed Bitter Leaves, leave to cook for 2-3 minutes. Do not over cook your vegetables…     And it is ready , serve with your preferred swallow.













"
Chicken Pie ,"Dough Ingredients:
500 Grams Plain Flour

1 Teaspoon Baking Powder

250 Grams Butter or Margarine

1/4 Cup Milk or Water

2 Medium Eggs

A Pinch of Salt

 

Filling ingredients:
300 Grams Minced Chicken OR

500 Grams Chicken With Bones (thigh, wings)

2 Medium Carrots Diced

2 Medium Irish Potatoes Diced

1 Medium Onion Diced

2 Cups Chicken Stock

100ml  Whole Milk or diluted evaporated milk

2 Heaped Tablespoons Plain Flour

1 Teaspoon Thyme

1 Tablespoon Curry Powder

1 Tablespoon Garlic Powder

I Tablespoon Chicken Seasoning of your choice

2 Knorr Chicken Cubes

Salt to Taste

 ","Filling method:
Firstly, using a knife, make deep insertions on each chicken, this will allow the marinade to penetrate deep into the chicken. Marinate the chicken with 1/2 tablespoon curry, garlic powder, 1 knorr chicken and 1 teaspoon chicken seasoning. Place in a fridge and leave to marinate for at least 2 hours. Could be left overnight. The longer, the better.After it’s marinated to your satisfaction, transfer the chicken into a cooking pot, place on a hob on low heat add some chopped onions and salt to taste, leave to simmer for 15 minutes. Do not add water. This process allows the chicken to release its own juices.,stir occasionally….After 15 minutes, add 1-2 cups of water, taste for seasoning and adjust if necessary, let this slowly cook till tender…The chicken shouldn’t be too soft, just tender so it’s easy to shred as it will be cooked further with the carrots and potatoes…When it’s tender, take out the chicken and shred into small pieces…When the onions are fragrant, add the minced chicken if you’re using any, fry till the mince loses its pinkness….(Skip this step if you’re using just shredded chicken).Now add the shredded chicken, stir for a minute…..Now, add the carrots and potatoes. ..Also add 1 knorr cube, remaining garlic powder and curry powder, chicken seasoning, also add the thyme and salt to taste…
Mix thoroughly, when the potatoes and carrots start to cook, add the chicken stock and continue to cook till the potatoes and carrots are soft…
While this is cooking, mix the flour in 1 cup of water, mix till you get a smooth, milky consistency, set aside.
When the carrots and potatoes are soft, add the flour mixture, stir and combine, then add the milk…
Stir and combine really well…
Turn off the heat and leave to simmer with the residual heat for 3-5 minutes. Set aside.

Dough method:
Mix the flour, baking powder and salt together, sift to get rid of clumps…
Now add the butter, mix thoroughly till you get a crumbly/grainy texture…
Now add the milk or water gradually, you may not need to use the entire quantity so, add gradually…Nigerian chicken pie
Mix till you get a firm, non sticky dough, do not over work your dough…
When it’s done, wrap in cling film and leave to rest in a fridge for half an hour…
Crack the eggs into a bowl, mix and set aside…
Now take out the dough after half an hour, knead your dough…(you’ll notice the texture of the dough has changed, it should feel more manageable now)

Preheat your oven to 200 degrees Celsius….
Then get a rolling pin and roll the dough on a smooth surface, roll the dough into your desired shape, I’m using rectangles. Cut into desired size, scoop 2 tablespoons of the filling unto the rolled out dough…
Use a brush to gently rub the egg mixture on the edges of your dough…
Fold the dough over, use the back of a fork to firmly seal the dough…
Use the baking brush to gently glaze the top of the pie with the egg mixture…
Repeat the same process with the remaining dough and filling till they’re exhausted.
Place on a parchment paper lined or oiled/greased baking tray…nigerian chicken pie 4
Place in the preheated oven and bake for 30 minutes thereabouts or until the top begins to brown…
"
Chinese Fried rice ,"Leftover rice
Egg yolks mixed into the rice
2-3 egg whites
Vegetable oil
1 cup mixed vegetables (e.g., carrots, peas, bell peppers)
Soy sauce to taste (or other seasoning if soy sauce isn’t available)","If not already done, mix the egg yolks into the cold leftover rice until well combined.
Heat some oil in a wok or large frying pan.
Fry the egg whites until just set, then remove and chop into small pieces.
In the same wok, add a bit more oil if needed.
Add the mixed vegetables and stir-fry until just tender.
Add the rice and egg yolks mixture to the wok.
Pour over soy sauce or your chosen seasoning, and stir-fry the rice until it’s crispy and heated through.
Add the chopped egg whites back into the wok.
Stir everything together well, ensuring the rice gets a nice crispy texture.
Serve hot, garnished with additional chopped spring onions or cilantro if desired."
Rasidat's Waakye Sauce ,"Onions (use more onions relative to other ingredients)
Ginger (use slightly less than the amount of onions)
Crayfish (use less than the amount of ginger)
Cooking oil
Maggi cubes (or any preferred seasoning cubes)
Salt to taste","Peel and roughly chop the onions and ginger.
Measure out the required amount of dried crayfish.
In a food processor or using a mortar and pestle, grind the onions, ginger, and crayfish together to form a coarse paste. The mixture should have more onions and ginger relative to the crayfish, creating a balanced blend of flavors.
Heat a generous amount of oil in a frying pan over medium heat. Once the oil is hot, carefully add the ground paste to the pan.
Season the paste with Maggi cubes and salt to taste.
Fry the mixture, stirring frequently to prevent it from sticking to the pan. Continue cooking until the paste turns a rich brown color, which indicates that the flavors have melded and intensified.
Once browned and aromatic, remove the paste from heat. This versatile paste can be served alongside a stew for waakye and rice&beans  ."
Ofada Rice ,"2 Cups Ofada Rice

Water

Salt to taste","Pick the stones and dirt from the Ofada rice. Do this carefully as Ofada rice is known to be very dirty and full of stones….
Pour the rice into a bowl, wash repeatedly.
Rinse till the water runs clean…
Now, add 4 Cups of water, allow to cook on low to medium heat for 12 minutes…
Do not cover the pot throughout!
Take the rice off the heat and rinse out the starch till water runs clean
Add 1 cup of water and cook till soft. You’ll need to check on it every now and then to prevent burning or sogginess. When it’s soft, take it off the heat and if you end up with liquid after the rice is fully cooked, drain in a colander…
Enjoy with Ofada Stew/ Ayamase…"
White Rice ,"2 Cups Rice

4 cups Water

Salt to taste","Place the rice in a strainer and rinse under cold running water until the water runs clear. This helps to remove excess starch and improve the texture of the cooked rice.
In a medium pot, bring the water to a boil. Add the rinsed rice and salt.
Reduce the heat to low, cover the pot, and let the rice simmer for 18-20 minutes, or until all the water is absorbed and the rice is tender.
Remove from heat and let it sit, covered, for 5 minutes to allow the grains to settle and become fluffy.
Fluff the rice with a fork before serving. White rice can be served with a variety of dishes such as stews, sauces, and grilled meats or vegetables."
Yam and Beans ,"2 cups beans (your choice of black-eyed peas or any preferred type), picked clean
1 large onion, chopped
Salt to taste
1 large yam, peeled and chopped into cubes
2 tablespoons grated pepper (such as scotch bonnet or your choice)
3 tablespoons palm oil","Rinse the beans thoroughly and place them in a large pot.
Add enough water to cover the beans by several inches.
Add the chopped onion and a pinch of salt to the pot.
Bring the water to a boil, then reduce the heat to a simmer. Cover and let the beans cook until they are almost soft, which may take about 1 to 1.5 hours depending on the type of beans.
When the beans are nearly done (soft but still firm), add the chopped yam to the pot.
Continue to cook on medium heat, allowing the yam to cook through, which should take about 20-30 minutes. Stir occasionally to prevent sticking.
Once the yam is almost fully cooked, stir in the grated pepper and palm oil.
Add additional salt to taste.
Continue to cook the mixture for a few more minutes until the yam is completely soft and the flavors have melded together.
Serve hot as a hearty dish on its own or accompanied by a side of fried plantains or bread."
Plantain Pottage ,"3 ripe plantains, peeled and sliced
Enough vegetable stock or water to cover the plantains
1 onion, chopped
2 tomatoes, ground or blended
1 bell pepper, chopped
1 scotch bonnet pepper, finely chopped
200 grams smoked fish (Titus)
100 grams ponmo, prepared as above
2 tablespoons palm oil
Salt and bouillon cubes to taste
1 cup chopped ugwu leaves","Place the sliced plantains in a large pot and cover with vegetable stock or water.
Cook over medium heat until they are partly tender, about 10-15 minutes.
Cook the smoked fish and ponmo in a separate pot as described in the potato pottage recipe. Once cooked, chop into bite-sized pieces.
Add the chopped onions, ground tomatoes, bell pepper, and scotch bonnet to the plantains.
Continue cooking until the plantains are fully tender, about 10 more minutes.
Stir in the palm oil, smoked fish, and ponmo.
Lightly mash some of the plantains to thicken the pottage.
Season with salt and bouillon cubes to your taste.
Add the chopped ugwu leaves and simmer for another 5 minutes.
Mash the plantains to your preferred texture.
Serve hot, enjoying the sweet and savory flavors combined in this rich and satisfying dish."
Yam Giz dodo ,"
1/2 of a Small Yam

Vegetable oil

2 Ripe Plantains

1 Red, Yellow and Green Sweet Peppers

2Red Bell Peppers

1/2 Can Plum or 3 Medium Tomatoes

2 Onions

1 Scotch Bonnet

2 Bouillon Cubes

1 Teaspoon Curry Powder

1Teaspoon Dried Thyme

Salt to Taste","Blend the whole red bell peppers, tomatoes, scotch bonnet and one onion till smooth or semi smooth and set aside…
Chop the sweet peppers and one onion and set aside…
Chop the Yam into big size pieces, add 4-5 tablespoons of water, season with one Bouillon cube and set aside..
Clean and chop the Gizzard into bite size pieces, season with salt, one Bouillon cube, onions, Thyme and Curry powder, cook till soft..
When the Gizzard is well cooked, fry till golden brown…Chop the Plantain into bite size pieces, then fry till golden brown. Set aside.
I fry the Plantain and Gizzard in a deep fryer but I prefer to fry Yam on the hob for safety reasons, for Yam to properly cook, water has to be added to the oil. If/When  water is added to the oil, the water cooks the Yam before the frying process begins. To avoid any fire hazard,  I figure it’s safer to do this on a hob.
Now, place a saucepan on medium heat, then add vegetable oil. Make sure the heat isn’t too high. When it’s moderately hot, add the chopped Yam along with the water into the oil. Be careful when doing this cos you really don’t want to start a fire in your kitchen. Alternatively, you can remove the pan from the hob/fire before adding the Yam.
Fry till it’s well cooked. This should take 5-6 minutes. Leave to drain in a colander.
For the sauce, Pour 1.5 cooking spoon vegetable oil into a wok or deep pan, place on medium heat. When the oil is hot, add chopped onions, saute till translucent, then add the blended peppers, Thyme, curry powder, one Bouillon cube and salt to taste. Fry for 10-12 minutes. Be sure to stir every now and then to prevent burning..
After 10-13 minutes, add the chopped peppers and fry for a further 3 minutes…
Then, add the fried Gizzard, then the fried Yam, stir and combine. Leave to cook for 2 minutes…
Then, add the fried Plantain, cook for a minute. Don’t cook for too long to avoid the Plantain becoming soggy.
YamGizDodo is ready…"
French Toast ,"4 slices of bread 
2 eggs
1/2 cup milk
2 tablespoons sugar
1 teaspoon vanilla extract
1/2 teaspoon ground cinnamon(optional)
Butter or oil for frying
Maple syrup and powdered sugar for serving
","
In a bowl, whisk together the eggs, milk, sugar, vanilla, and cinnamon.
Heat a skillet over medium heat and add a bit of butter or oil.
Dip each slice of bread into the egg mixture, allowing it to soak on both sides.
Fry the bread slices until golden brown on both sides, about 2-3 minutes per side.
Serve hot with syrup and a dusting of powdered sugar."
Ojojo ,"1/2 pound water yam, peeled and grated
1 small onion, finely chopped
1-2 scotch bonnet peppers, finely chopped
Salt to taste
Oil for frying
","
In a bowl, mix the grated water yam, onion, scotch bonnet, and salt.
Heat oil in a deep fryer or a deep skillet.
Drop spoonfuls of the batter into the hot oil and fry until crisp and golden, about 5 minutes.
Remove with a slotted spoon and drain on paper towels.
Serve warm."
Chicken Dumplings ,"For the Dough:

2 cups all-purpose flour
1/2 teaspoon salt
3/4 cup boiling water
For the Filling:

1 cup cooked chicken, finely chopped or shredded
1/2 cup spring onions, finely chopped
1 tablespoon soy sauce
1 teaspoon sesame oil
1 teaspoon ginger, grated
Salt and pepper to taste","In a mixing bowl, combine the flour and salt. Gradually add the boiling water, stirring with a fork or chopsticks until the mixture starts to come together.
Once cool enough to handle, knead the mixture on a lightly floured surface until smooth, about 10 minutes. Cover the dough with a damp cloth and let it rest for 30 minutes.
In a bowl, mix together the chopped chicken, spring onions, soy sauce, sesame oil, grated ginger, salt, and pepper.
Divide the rested dough into small balls, about 1 inch in diameter.
Roll each ball into a circle about 3 inches in diameter.
Place a small spoonful of the filling in the center of each dough circle.
Fold the dough over the filling to form a half-moon shape, pinching the edges to seal. Optionally, create pleats for a traditional look.
For Steamed Dumplings: Place the dumplings in a steamer lined with parchment paper or cabbage leaves. Steam over boiling water for about 15-20 minutes until the dough is tender.
For Soup Dumplings: Prepare a broth by bringing chicken broth to a simmer with additional spring onions and ginger slices. Drop the dumplings into the simmering broth and cook for about 15 minutes until they float and the dough is cooked through.

Serve the steamed dumplings hot with a dipping sauce made from equal parts soy sauce and vinegar, with a bit of chili oil if desired.
If serving soup dumplings, ladle some broth into bowls and add a few dumplings to each bowl.
"
Cinamon Rolls ,"For the dough:
3 cups all-purpose flour
1/4 cup sugar
1 packet (2 1/4 teaspoons) instant yeast
1 cup warm milk
1/4 cup melted butter
1 teaspoon salt
For the filling:
3/4 cup brown sugar
2 tablespoons ground cinnamon
1/4 cup softened butter","
Combine flour, sugar, yeast, warm milk, melted butter, and salt to form a dough. Knead until smooth.
Let the dough rise in a warm place until doubled in size, about 1 hour.
Roll out the dough into a rectangle. Spread softened butter over it, then sprinkle with brown sugar and cinnamon.
Roll up the dough and cut into slices. Place slices in a greased baking dish.
Let rise again until doubled. Bake at 350°F (175°C) for 25 minutes.
Optionally, drizzle with icing or cream cheese frosting before serving."
Grilled Fish,"
Fish of your choice)
2 tablespoons olive oil
1 lemon, juiced
2 garlic cloves, minced
Salt and pepper to taste
Herbs and spices (like dill, paprika, or parsley)
","Preheat your grill to medium-high heat.
In a small bowl, mix olive oil, lemon juice, garlic, salt, pepper, and any other herbs or spices you like.
Brush the mixture over both sides of the fish fillets.
Place fish on the grill and cook for about 3-4 minutes on each side, or until the fish flakes easily with a fork.
Serve hot with lemon wedges and a side of vegetables or salad."
Potato Pottage ,"4 large potatoes, peeled and cubed
Enough vegetable stock or water to cover the potatoes
1 onion, chopped
2 tomatoes, ground or blended
1 bell pepper, chopped
1 scotch bonnet pepper, finely chopped (adjust based on your spice preference)
200 grams of smoked fish (e.g., mackerel, known as Titus in some regions)
100 grams of ponmo (cow skin), cleaned and cut into pieces
2 tablespoons palm oil
Salt and bouillon cubes to taste
1 cup ugwu leaves (pumpkin leaves), chopped
","Place the cubed potatoes in a large pot and add enough vegetable stock or water to cover them.
Bring to a boil, then reduce to a simmer and let cook until they are partly tender, about 15 minutes.
In a separate pot, combine the smoked fish and ponmo with water. Season with a little salt and bouillon cube.
Cook over medium heat until they are both tender, about 15-20 minutes. Drain and chop into bite-sized pieces.
To the pot with the partly cooked potatoes, add the chopped onions, ground tomatoes, bell pepper, and scotch bonnet.
Continue cooking until the potatoes are completely tender, about 10 more minutes.
Add the palm oil, chopped smoked fish, and ponmo to the pot.
Lightly mash some of the potatoes in the pot to help thicken the pottage.
Season with salt and additional bouillon cubes to taste.
Stir in the ugwu leaves and simmer for another 5 minutes until the leaves are wilted and the flavors meld.
Mash the potatoes to your preferred texture.
Serve the pottage hot as a hearty and comforting meal."
